wl,n,k
6.256,1.338,0.0008106
6.272,1.337,0.0008022
6.288,1.337,0.0008127
6.304,1.337,0.0008551
6.32,1.337,0.0009178
6.336,1.336,0.0009768
6.352,1.336,0.0010266
6.368,1.336,0.0011031
6.384,1.335,0.0011847
6.4,1.335,0.0013303
6.416,1.335,0.0013522
6.432,1.334,0.001405
6.448,1.334,0.0014277
6.464,1.333,0.0014741
6.48,1.333,0.0015523
6.496,1.332,0.0016381
6.512,1.332,0.0017244
6.608,1.326,0.0018333
6.624,1.325,0.0020933
6.64,1.323,0.0025914
6.656,1.318,0.0027905
6.672,1.316,0.0092482
6.688,1.318,0.0119166
6.704,1.318,0.013008
6.72,1.317,0.0140369
6.736,1.316,0.0161724
6.752,1.314,0.0168755
6.768,1.311,0.0210066
6.784,1.307,0.0252824
6.8,1.305,0.0359925
6.816,1.309,0.0477826
6.832,1.317,0.0577349
6.848,1.33,0.0666977
6.864,1.345,0.0672714
6.88,1.361,0.0648412
6.896,1.371,0.0487822
6.912,1.372,0.0393588
6.928,1.37,0.0297842
6.944,1.367,0.0263483
6.96,1.365,0.021926
6.976,1.361,0.019951
6.992,1.36,0.0200643
7.008,1.359,0.0189324
7.024,1.359,0.0184897
7.04,1.358,0.0167459
7.056,1.357,0.0164005
7.072,1.357,0.0158037
7.088,1.356,0.0149845
7.104,1.355,0.013839
7.12,1.355,0.0141731
7.136,1.354,0.0128067
7.152,1.352,0.0129628
7.168,1.35,0.0136343
7.184,1.349,0.0148756
7.2,1.347,0.0166159
7.216,1.346,0.0194035
7.232,1.347,0.02447
7.248,1.351,0.0285845
7.264,1.357,0.0303024
7.28,1.363,0.0281268
7.296,1.366,0.0241517
7.312,1.366,0.0217464
7.328,1.369,0.0206859
7.344,1.371,0.0165997
7.36,1.371,0.0125793
7.376,1.369,0.007398
7.392,1.366,0.0068942
7.408,1.364,0.006087
7.424,1.363,0.0058997
7.44,1.362,0.005518
7.456,1.361,0.0055146
7.472,1.361,0.0053932
7.488,1.361,0.0051926
7.504,1.361,0.0045905
7.52,1.361,0.0035933
7.536,1.36,0.0026334
7.552,1.359,0.0019042
7.568,1.358,0.0013848
7.584,1.357,0.0011985
7.6,1.356,0.0011877
7.616,1.356,0.001511
7.632,1.355,0.0016361
7.648,1.355,0.0019888
7.664,1.354,0.002316
7.68,1.354,0.0025445
7.696,1.354,0.0029597
7.712,1.354,0.0034767
7.728,1.354,0.003702
7.744,1.355,0.0034972
7.76,1.355,0.0027188
7.776,1.355,0.0021943
7.792,1.354,0.0022089
7.808,1.354,0.0021876
7.824,1.354,0.0020776
7.84,1.354,0.0018297
7.856,1.353,0.001623
7.872,1.353,0.0016431
7.888,1.352,0.0018742
7.904,1.352,0.0022169
7.92,1.352,0.002276
7.936,1.353,0.0023607
7.952,1.353,0.0022207
7.984,1.352,0.0021043
8,1.352,0.0019028
8.016,1.352,0.001821
8.032,1.352,0.001706
8.048,1.352,0.0015955
8.064,1.352,0.0014939
8.08,1.352,0.0014211
8.112,1.351,0.0013648
8.128,1.351,0.0013432
8.144,1.351,0.0013131
8.16,1.351,0.0012565
8.176,1.351,0.0011884
8.192,1.351,0.0011296
8.208,1.351,0.0010838
8.224,1.35,0.0010855
8.24,1.35,0.0011084
8.304,1.35,0.0011808
8.32,1.349,0.0011894
8.336,1.349,0.0012473
8.352,1.349,0.0013474
8.368,1.349,0.0015012
8.384,1.348,0.0017061
8.4,1.348,0.001896
8.416,1.348,0.0020866
8.464,1.348,0.0022866
8.48,1.347,0.0027813
8.496,1.347,0.0037335
8.512,1.347,0.004917
8.528,1.348,0.0056193
8.544,1.35,0.005556
8.56,1.35,0.004995
8.576,1.351,0.0041961
8.592,1.351,0.0034439
8.608,1.351,0.0024775
8.624,1.35,0.001928
8.64,1.349,0.0016531
8.656,1.349,0.0017016
8.672,1.348,0.0016698
8.688,1.347,0.0024287
8.704,1.346,0.0037619
8.72,1.346,0.0053875
8.736,1.347,0.0070826
8.752,1.349,0.0081212
8.768,1.351,0.0071571
8.784,1.352,0.0063795
8.8,1.352,0.0052493
8.832,1.352,0.0050081
8.848,1.353,0.0044479
8.864,1.353,0.0038857
8.88,1.353,0.003323
8.896,1.353,0.0029705
8.912,1.353,0.0022408
8.928,1.352,0.0019331
8.944,1.352,0.0016314
8.96,1.352,0.0014116
8.976,1.352,0.0012253
8.992,1.351,0.0009179
9.008,1.351,0.0008719
9.024,1.351,0.0007874
9.04,1.351,0.0007379
9.056,1.351,0.0006612
9.072,1.35,0.0006205
9.088,1.35,0.0005697
9.104,1.35,0.0005233
9.136,1.35,0.0005086
9.152,1.35,0.0005025
9.168,1.349,0.0004934
9.184,1.349,0.0004451
9.2,1.349,0.0004454
9.216,1.349,0.0004248
9.248,1.349,0.0005384
9.264,1.349,0.0006051
9.28,1.349,0.0005886
9.312,1.348,0.0004645
9.328,1.348,0.000495
9.36,1.348,0.0005087
9.392,1.348,0.0005594
9.408,1.348,0.0005809
9.424,1.347,0.0006469
9.44,1.347,0.0006714
9.456,1.347,0.000736
9.472,1.347,0.0007619
9.488,1.347,0.0008374
9.504,1.347,0.0008987
9.52,1.346,0.0009852
9.536,1.346,0.0010565
9.552,1.346,0.0012119
9.568,1.346,0.0013747
9.584,1.346,0.0016126
9.616,1.345,0.0017819
9.632,1.345,0.0023287
9.648,1.345,0.002841
9.664,1.345,0.003606
9.68,1.345,0.0037679
9.696,1.346,0.0038659
9.712,1.346,0.003795
9.728,1.346,0.003707
9.744,1.346,0.003304
9.76,1.346,0.0034801
9.776,1.345,0.0035137
9.792,1.345,0.0035327
9.808,1.344,0.0046812
9.824,1.344,0.0051242
9.84,1.344,0.0056447
9.856,1.344,0.0072733
9.872,1.345,0.0086071
9.888,1.347,0.0087892
9.904,1.348,0.0090917
9.92,1.349,0.009401
9.936,1.35,0.0080554
9.952,1.35,0.0078189
9.968,1.351,0.0072063
9.984,1.352,0.0061826
10,1.352,0.005094
10.016,1.352,0.0047296
10.032,1.352,0.003954
10.048,1.351,0.0029283
10.064,1.351,0.0026909
10.08,1.35,0.0017526
10.096,1.349,0.0016241
10.112,1.348,0.0013395
10.128,1.347,0.0011243
10.144,1.346,0.0019251
10.16,1.345,0.0026577
10.176,1.345,0.0030347
10.192,1.344,0.0043693
10.208,1.344,0.0059061
10.224,1.344,0.0070515
10.24,1.344,0.0081941
10.256,1.344,0.0104393
10.272,1.346,0.0135095
10.288,1.349,0.0142772
10.304,1.351,0.0134699
10.32,1.353,0.015019
10.336,1.356,0.0125615
10.352,1.358,0.0103682
10.368,1.358,0.0072554
10.384,1.358,0.0056277
10.4,1.357,0.0040921
10.416,1.356,0.0030162
10.432,1.355,0.0030045
10.448,1.355,0.0025413
10.464,1.354,0.002098
10.48,1.354,0.0017487
10.496,1.353,0.0014491
10.528,1.352,0.0024957
10.544,1.353,0.0022704
10.56,1.352,0.0020222
10.576,1.352,0.0018577
10.592,1.352,0.0017663
10.608,1.352,0.0017253
10.624,1.352,0.0016273
10.64,1.352,0.0015591
10.656,1.351,0.0015378
10.672,1.351,0.0015248
10.688,1.351,0.0015347
10.704,1.351,0.0015788
10.72,1.351,0.0016535
10.736,1.351,0.0017672
10.752,1.351,0.0010738
10.768,1.35,0.0012738
10.784,1.35,0.0014512
10.8,1.35,0.0015617
10.816,1.35,0.0016558
10.832,1.35,0.0017847
10.848,1.35,0.0019144
10.864,1.35,0.0020073
10.88,1.35,0.0022604
10.896,1.35,0.0025241
10.912,1.35,0.0027284
10.928,1.35,0.0029026
10.944,1.35,0.0030549
10.96,1.35,0.0031773
10.976,1.351,0.0032143
10.992,1.351,0.0031691
11.008,1.351,0.0031226
11.024,1.352,0.0029516
11.04,1.352,0.0026839
11.056,1.352,0.0023377
11.072,1.352,0.0019731
11.088,1.352,0.0016086
11.104,1.352,0.0013625
11.12,1.351,0.0012557
11.136,1.351,0.0012166
11.168,1.351,0.0011888
11.184,1.351,0.0010918
11.2,1.351,0.0011377
11.232,1.351,0.0010513
11.248,1.351,0.0009525
11.264,1.351,0.0008785
11.28,1.351,0.0007753
11.296,1.351,0.000678
11.312,1.351,0.0006084
11.328,1.351,0.0005598
11.344,1.351,0.0005327
11.36,1.351,0.0005051
11.376,1.35,0.000449
11.392,1.35,0.0004095
11.408,1.35,0.0004014
11.44,1.35,0.0003858
11.456,1.35,0.0003697
11.472,1.35,0.0003365
11.488,1.35,0.0003304
11.504,1.35,0.0002929
11.536,1.35,0.0002755
11.584,1.35,0.0002264
11.632,1.349,0.0002288
11.696,1.349,0.000223
11.744,1.349,0.0002064
11.776,1.349,0.0002048
11.792,1.349,0.000188
11.84,1.349,0.0001703
11.856,1.349,0.0001772
11.888,1.349,0.0001993
11.92,1.349,0.0002256
11.952,1.348,0.0002275
11.984,1.348,0.0002765
12,1.348,0.0002899
12.048,1.348,0.0003015
12.08,1.348,0.0003621
12.096,1.348,0.0003452
12.144,1.348,0.0003527
12.16,1.348,0.0003576
12.176,1.348,0.0004236
12.192,1.348,0.0004465
12.224,1.347,0.0004832
12.256,1.347,0.0005808
12.272,1.347,0.0006223
12.288,1.347,0.0007259
12.304,1.347,0.0007852
12.336,1.347,0.0008451
12.352,1.347,0.000923
12.368,1.346,0.0011035
12.4,1.346,0.0011951
12.416,1.346,0.0014993
12.432,1.346,0.0017359
12.448,1.346,0.001877
12.464,1.346,0.0021328
12.48,1.346,0.0023013
12.496,1.346,0.0025998
12.512,1.346,0.0028504
12.528,1.346,0.0035175
12.544,1.346,0.0040134
12.56,1.346,0.004273
12.576,1.347,0.004978
12.592,1.348,0.0052098
12.608,1.348,0.0042827
12.624,1.348,0.0041597
12.64,1.348,0.0039227
12.672,1.348,0.0038851
12.688,1.349,0.0036175
12.704,1.349,0.0032063
12.72,1.348,0.0031389
12.736,1.348,0.0028863
12.752,1.348,0.002931
12.768,1.347,0.0032088
12.784,1.347,0.0035391
12.8,1.347,0.0036213
12.816,1.347,0.004857
12.832,1.348,0.0048031
12.864,1.349,0.0043768
12.88,1.349,0.0043707
12.912,1.349,0.0040252
13.008,1.348,0.0038153
13.024,1.348,0.0037782
13.04,1.347,0.0040236
13.056,1.347,0.0055589
13.072,1.348,0.0068701
13.104,1.349,0.0068529
13.12,1.351,0.0080498
13.136,1.352,0.0060008
13.152,1.352,0.0055762
13.184,1.352,0.0053824
13.2,1.352,0.0051813
13.216,1.352,0.0049797
13.248,1.352,0.0047834
13.264,1.353,0.0045806
13.28,1.353,0.0046128
13.296,1.354,0.0041019
13.312,1.354,0.0034685
13.328,1.354,0.0028086
13.344,1.353,0.0027747
13.36,1.353,0.0022816
13.376,1.353,0.0019058
13.392,1.353,0.0018452
13.408,1.353,0.0017471
13.424,1.353,0.0014794
13.44,1.353,0.0012204
13.456,1.352,0.0012037
13.472,1.352,0.0012042
13.488,1.352,0.0011422
13.504,1.352,0.000982
13.52,1.352,0.0008232
13.552,1.352,0.0007995
13.568,1.352,0.0007756
13.584,1.352,0.0006758
13.616,1.351,0.0006164
13.632,1.351,0.0006027
13.648,1.351,0.0006118
13.664,1.351,0.000508
13.696,1.351,0.0004785
13.712,1.351,0.000473
13.744,1.351,0.0003715
13.76,1.351,0.0003617
13.776,1.351,0.0003386
13.808,1.351,0.0003327
13.856,1.351,0.0002869
13.872,1.351,0.0002169
13.888,1.351,0.0002238
13.936,1.35,0.0001751
13.968,1.35,0.0001732
13.984,1.35,0.0001737
14,1.35,0.0001739
14.286,1.35,0.0001775
14.493,1.35,0.00018
14.706,1.349,0.0001827
14.925,1.349,0.0001854
